"id","date","prcp","snwd","tavg","tmax","tmin","tobs","wesd","dapr","mdpr","snow","wesf","elevationMeter","latitude","name","datacoverage","GHCND_id","longitude","mountain"
"USS0021D08S",2016-01-28,330,2083,20,63,-15,-15,7468,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-29,254,2235,-18,10,-35,-33,7798,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-30,203,2413,-39,-23,-52,-52,8077,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-01-31,127,2388,-48,-24,-62,-45,8103,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-01,0,2388,-43,-28,-60,-51,8179,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-02,25,2337,-42,-4,-77,-32,8204,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-03,178,2464,-17,1,-33,-14,8382,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-04,635,2692,-3,8,-14,-7,9017,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-05,51,2667,2,26,-18,-14,9093,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-06,0,2616,-12,16,-42,15,9068,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-07,0,2565,42,83,11,75,9068,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-08,0,2464,102,150,68,85,9068,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-09,0,2413,87,144,53,72,8966,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-10,0,2362,65,90,34,56,8941,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-11,102,2286,60,79,43,54,8839,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-12,127,2286,28,57,-6,-6,8865,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-13,305,2438,-6,10,-15,10,9169,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-14,610,2286,34,53,10,45,9169,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-15,0,2235,36,59,14,30,9068,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-16,25,2184,36,66,23,65,8992,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-17,102,2235,43,79,-15,-15,8966,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-18,229,2413,-13,-4,-27,-5,9246,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-19,229,2616,-13,5,-36,-35,9500,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-20,51,2565,-23,-4,-42,-8,9576,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
